"Country" "Region" "Year" "Population" "LifeExpectancy" "HealthExpenditure"
"Albania" "Europe & Central Asia" 1995 3141102 71.87029268 0.2822458703
"Algeria" "Middle East & North Africa" 1995 28291591 68.46587805 0.6205589356
"Angola" "Sub-Saharan Africa" 1995 12105105 42.05092683 0.2074862862
"Argentina" "Latin America & Caribbean" 1995 34855160 72.62363415 6.154142626
"Armenia" "Europe & Central Asia" 1995 3223173 68.62046341 0.2573810058
"Australia" "East Asia & Pacific" 1995 18072000 77.82926829 15.64944285
"Austria" "Europe & Central Asia" 1995 7948278 76.71560976 28.76079792
"Azerbaijan" "Europe & Central Asia" 1995 7685000 64.57582927 0.1803309964
"Bahamas, The" "Latin America & Caribbean" 1995 279774 70.05636585 8.396062536
"Bahrain" "Middle East & North Africa" 1995 559069 73.14702439 4.818814347
"Bangladesh" "South Asia" 1995 117486952 62.12268293 0.1137605806
"Barbados" "Latin America & Caribbean" 1995 263416 74.95936585 4.501055365
"Belarus" "Europe & Central Asia" 1995 10194000 68.46097561 0.6912993509
"Belgium" "Europe & Central Asia" 1995 10136811 76.84073171 21.36333514
"Belize" "Latin America & Caribbean" 1995 216500 73.12760976 1.204951841
"Benin" "Sub-Saharan Africa" 1995 5651141 50.94126829 0.1801648902
"Bhutan" "South Asia" 1995 518584 56.72339024 0.2242654267
"Bolivia" "Latin America & Caribbean" 1995 7470925 61.09587805 0.4017792593
"Bosnia and Herzegovina" "Europe & Central Asia" 1995 3332098 68.06819512 0.6379041661
"Botswana" "Sub-Saharan Africa" 1995 1585637 59.19780488 1.247782423
"Brazil" "Latin America & Caribbean" 1995 161848162 68.34063415 3.160568547
"Brunei Darussalam" "East Asia & Pacific" 1995 289614 74.96741463 4.816751383
"Bulgaria" "Europe & Central Asia" 1995 8406067 71.05341463 0.8161512375
"Burkina Faso" "Sub-Saharan Africa" 1995 10692138 48.9797561 0.107241997
"Burundi" "Sub-Saharan Africa" 1995 6086751 44.5885122 0.090893498
"Cambodia" "East Asia & Pacific" 1995 11169233 56.06526829 0.1897864601
"Cameroon" "Sub-Saharan Africa" 1995 13940337 51.99190244 0.251337447
"Canada" "North America" 1995 29354000 77.97756098 18.20609018
"Cape Verde" "Sub-Saharan Africa" 1995 394946 67.18231707 0.6567099483
"Central African Republic" "Sub-Saharan Africa" 1995 3327710 46.10629268 0.1303604562
"Chad" "Sub-Saharan Africa" 1995 6998108 49.84973171 0.1193950919
"Chile" "Latin America & Caribbean" 1995 14409416 75.04146341 3.311584012
"China" "East Asia & Pacific" 1995 1204855000 70.42473171 0.2114285568
"Colombia" "Latin America & Caribbean" 1995 36453337 69.43668293 1.714598483
"Comoros" "Sub-Saharan Africa" 1995 494486 56.70980488 0.2187714413
"Congo, Dem. Rep." "Sub-Saharan Africa" 1995 44067369 45.87880488 0.04601678261
"Congo, Rep." "Sub-Saharan Africa" 1995 2732706 54.60939024 0.2449238466
"Costa Rica" "Latin America & Caribbean" 1995 3468918 76.80880488 2.199462904
"Cote d'Ivoire" "Sub-Saharan Africa" 1995 14677200 51.05136585 0.3792612511
"Croatia" "Europe & Central Asia" 1995 4669000 72.08439024 3.233719068
"Cuba" "Latin America & Caribbean" 1995 10900795 75.2067561 1.118448017
"Cyprus" "Europe & Central Asia" 1995 855424 77.26231707 7.063804455
"Czech Republic" "Europe & Central Asia" 1995 10327253 73.07487805 3.744310488
"Denmark" "Europe & Central Asia" 1995 5233373 75.21268293 28.27299759
"Djibouti" "Middle East & North Africa" 1995 626537 52.62419512 0.3199253183
"Dominican Republic" "Latin America & Caribbean" 1995 7916309 69.59173171 1.083197485
"Ecuador" "Latin America & Caribbean" 1995 11384506 71.252 0.7290344452
"Egypt, Arab Rep." "Middle East & North Africa" 1995 62063810 65.59346341 0.3744267234
"El Salvador" "Latin America & Caribbean" 1995 5733401 68.91380488 1.056978223
"Equatorial Guinea" "Sub-Saharan Africa" 1995 442527 48.24260976 0.2183153613
"Eritrea" "Sub-Saharan Africa" 1995 3212503 52.40460976 0.08433300418
"Estonia" "Europe & Central Asia" 1995 1436634 67.54390244 1.647858513
"Ethiopia" "Sub-Saharan Africa" 1995 57042197 49.31363415 0.03805632427
"Fiji" "East Asia & Pacific" 1995 775651 66.63890244 0.7774015923
"Finland" "Europe & Central Asia" 1995 5107790 76.4095122 20.10204221
"France" "Europe & Central Asia" 1995 59555439 77.75121951 27.41333692
"Gabon" "Sub-Saharan Africa" 1995 1087327 61.09760976 1.363501403
"Gambia, The" "Sub-Saharan Africa" 1995 1126183 53.71353659 0.2273855825
